,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
194510,16.0294,10.107,11.2329,12.54,10.1612,6.4345,6.3195,5.9257,5.7707,5.7248,5.2675,2.9796,6.3381,5.475,5.8296,4.5467,3.1074,6.0328,5.8116,6.35,2.0864,3.1071,5.5029,7.1791,4.3259
194511,7.8221,9.1103,14.0778,13.1189,11.6552,13.6008,8.1113,7.2844,13.1046,9.6642,7.0715,12.1084,6.2731,9.3584,8.803,7.4942,10.5157,8.6752,10.7541,17.1829,2.1188,3.4672,5.1925,5.4913,9.1421
194512,5.9573,2.8073,4.9734,2.9964,3.041,5.0776,5.2542,3.164,3.5036,3.1432,2.3253,-0.2129,1.9979,4.822,-0.7391,2.1873,2.512,2.4484,2.8362,-0.0355,1.7645,0.8282,1.4392,-0.8794,-1.0358
194601,35.7304,9.3558,11.9343,11.6946,16.7396,7.4302,9.3531,7.7491,8.0629,12.5573,6.0917,9.2051,6.5732,5.377,15.5099,5.0633,8.3866,9.1751,7.4667,9.5588,6.1447,4.4348,4.0467,6.4878,7.8356
194602,-4.6963,-10.1095,-6.4701,-6.67,-6.2515,-5.0368,-6.5902,-7.1985,-6.2501,-7.6333,-6.3011,-6.5305,-5.8801,-8.494,-9.5382,-5.1237,-6.1424,-5.331,-6.8167,-7.3529,-5.8644,-4.3616,-4.9385,-6.6972,-7.6093
194603,-4.6517,3.7218,4.5705,4.5424,4.0395,3.6889,8.0875,5.4569,8.2013,4.1466,6.7306,8.5866,8.5979,8.3944,5.7663,9.1638,8.4283,8.2692,6.3474,4.4771,4.5901,4.4913,8.3115,7.5389,3.8128
194604,3.208,6.2584,15.3234,6.8743,6.7147,4.2574,8.4445,7.5869,6.7879,7.6425,4.1665,5.2563,5.5171,6.6841,3.7733,6.3645,3.7629,7.7902,2.7933,1.1171,3.4075,3.9656,5.507,5.7387,1.8983
194605,9.2714,7.5372,4.6798,2.0608,6.452,6.195,5.0474,6.0666,4.0781,8.883,5.0317,8.1899,7.5396,5.7564,4.4804,5.1398,4.2803,5.1211,7.1722,11.3244,2.5552,4.0196,1.8972,5.6857,5.6884
194606,-6.3369,-3.8712,-5.5328,-4.5471,-6.0781,-4.1643,-5.7547,-5.2794,-5.4951,-5.9266,-4.9925,-5.9744,-4.6514,-6.3361,-4.7647,-5.4327,-6.2349,-5.4733,-6.1148,-5.3864,-4.3054,-2.5121,-0.9652,-5.6178,-2.7736
194607,-6.541,-6.7544,-4.2536,-3.2959,-6.525,-4.1666,-5.0617,-3.6001,-4.169,-4.7188,-5.4172,-2.387,-4.5286,-3.299,-4.588,-3.5127,-2.5445,-4.174,-3.7832,-6.2546,-2.1116,-4.2581,-1.6571,-1.216,-2.5025
194608,-9.5196,-8.7293,-9.4731,-7.6864,-9.1387,-6.8623,-7.8012,-8.5098,-8.3405,-7.9518,-9.2078,-8.0512,-7.1774,-6.517,-8.459,-6.7386,-6.1294,-6.6159,-5.4571,-9.18,-5.9585,-6.6677,-6.6398,-5.0268,-6.7107
194609,-15.98,-18.3069,-15.1062,-15.1498,-18.3059,-13.9983,-13.5065,-13.7578,-13.0959,-16.3644,-13.8065,-11.8575,-12.9116,-11.9051,-14.7687,-11.0201,-10.1769,-14.193,-8.4905,-16.3262,-9.8048,-8.8075,-6.397,-8.35,-13.0861
194610,-4.1431,-3.6252,1.5945,-1.5394,0.2542,-4.6593,-2.6103,-1.0363,-0.8291,-0.7191,-1.3572,-2.5176,-3.0338,-0.3708,0.8598,-3.5936,-0.8455,-2.1555,-0.9629,2.9259,-2.3752,-2.6238,-3.4096,0.1574,0.9772
194611,-2.8895,0.9632,-2.7098,-1.9121,0.3594,-4.4529,0.1083,-0.3497,-0.6959,1.9287,0.455,0.5369,1.4142,-0.7788,2.2388,1.7815,0.088,1.1736,-0.7846,0.8567,-0.2505,-0.1357,0.3032,0.8766,-0.7096
194612,1.6961,8.4525,3.5099,3.2897,3.0843,4.5531,7.4313,3.4396,4.7508,4.2176,5.3376,4.462,6.0754,7.0827,3.3029,7.2876,5.7638,8.2831,2.6418,4.3078,5.2999,6.2626,4.018,4.4397,3.6553
194701,5.7336,5.8197,3.0498,5.0174,5.1358,6.4056,2.5166,3.0032,1.9404,4.4276,1.224,2.7387,2.313,0.3723,4.5317,-1.487,0.5309,1.5844,3.3523,1.8999,2.3791,-0.1498,1.3249,-0.5467,1.3864
194702,1.0465,-2.0308,-0.9634,0.9634,0.295,-2.3234,0.2797,1.3723,-1.2193,0.9901,-1.719,-1.4568,-1.363,-0.7962,0.797,-1.855,-0.9666,-2.0605,-1.8363,0.1825,0.6994,-0.4708,-1.548,-1.6102,-2.4915
194703,-5.2422,-4.4706,-5.0587,-4.6179,-1.7482,-4.3206,-4.2593,-3.4903,-2.5581,-3.0044,-2.3149,-2.7408,-2.7188,-1.2567,-2.4666,-0.3833,-1.4941,-2.6823,-0.7324,-2.6732,-1.7298,-2.1434,-2.0692,0.6496,-2.1532
194704,-11.4001,-9.7146,-9.8503,-9.2323,-9.3417,-9.1218,-6.25,-8.2356,-9.4136,-8.9615,-9.3694,-8.5365,-7.6576,-6.5439,-6.5509,-6.7357,-6.3729,-7.4537,-8.534,-8.0751,-4.7241,-5.2982,-2.3966,-2.7481,-3.8912
194705,-6.237,-7.0371,-7.2637,-5.116,-5.6548,-7.1027,-4.6296,-3.9648,-3.3823,-1.8662,-4.6102,-3.0026,-4.4382,-2.5006,-3.7822,-3.1234,-3.7164,-1.2158,-4.4396,-2.5896,-0.8517,0.0561,-1.2118,1.865,-2.1204
194706,6.8417,3.2012,7.7985,2.8755,6.3072,4.8067,4.5431,6.2021,6.0728,4.6421,3.357,5.5648,5.9345,6.0437,5.5191,7.1477,6.3668,5.3129,5.09,6.0849,6.1342,7.3054,0.7461,6.0399,4.3785
194707,10.172,7.9815,7.909,5.1505,9.0042,4.7011,6.7416,5.7606,6.3556,8.2041,6.3173,3.982,8.2471,7.0233,7.0475,3.8544,3.9594,8.0316,4.755,9.9725,3.3851,3.7332,2.6415,3.5065,7.2487
194708,-2.5053,-3.1824,-3.4218,-1.3391,-2.4383,-2.3896,-1.1785,-1.8429,-0.6377,-1.5516,0.3333,-1.5006,-1.7986,-1.5547,-0.9009,-1.4313,-1.2147,-3.0079,-1.8885,-1.9194,-1.7635,-1.78,-1.4499,-0.9952,-2.9698
194709,1.1831,0.5273,-0.6959,-0.1821,2.8414,-0.7667,1.8544,0.7901,0.8401,3.2507,0.8318,-1.3881,0.8083,1.3835,2.0228,-0.7859,-0.7949,2.524,2.2641,0.8991,-0.5685,-0.8008,-1.3779,-0.3463,-0.5747
194710,2.4823,5.6887,7.9053,4.2628,2.5424,3.1629,3.2375,2.8569,4.385,3.1104,5.1518,3.2501,3.6763,4.4968,0.8562,3.4631,2.7028,4.1814,1.6208,-0.0823,1.7815,4.2621,2.4239,2.5916,3.5963
194711,-4.77,-5.9517,-3.7439,-2.0511,-2.2935,-5.1403,-3.3608,-2.6213,-3.9404,-2.8877,-2.5572,-3.7135,-2.8305,-2.9225,-1.9269,-2.8811,-2.5012,-1.9088,-1.8537,-3.9363,-1.7221,-1.6754,-1.3706,-2.2434,-1.4663
194712,-3.481,3.823,-1.7511,0.0649,4.4914,-1.2038,1.4529,1.4696,-0.545,6.668,1.9489,4.1433,0.333,2.4488,2.9657,4.4945,2.999,1.1217,0.61,3.5456,1.6615,3.6142,3.6972,4.6859,7.4974
194801,2.4166,-1.1871,-2.4255,-1.1914,1.2146,-3.277,-1.82,-3.2246,-1.1851,-0.1017,-3.9128,-3.7574,-2.1918,-3.8769,-0.1574,-3.1784,-3.7891,-3.3746,0.6247,0.2657,-4.8956,-4.3453,-4.3027,-3.3532,-4.2191
194802,-8.7491,-6.9237,-7.8765,-6.9336,-6.418,-7.1318,-6.0142,-7.0624,-5.5425,-7.1702,-4.8767,-7.6789,-6.3122,-6.7487,-5.0034,-5.3762,-5.4884,-2.9033,-6.723,-6.6565,-4.5961,-4.7793,-2.7899,-4.1307,-3.8117
194803,14.4194,8.1051,10.0796,9.9549,10.8563,5.3771,6.5976,8.861,10.1342,13.0369,6.6587,6.9834,11.2787,11.2669,11.7289,9.023,8.233,8.3193,10.8096,13.2224,7.3012,10.5885,6.219,8.66,10.5421
194804,-0.3883,5.6884,1.5523,5.1455,5.4767,4.4825,1.5382,0.769,5.3061,5.3897,2.3711,2.4277,2.4111,2.8537,3.8353,5.1074,3.7119,6.9729,1.5095,7.0953,1.9796,2.9276,4.8224,3.9122,7.7928
194805,13.1727,11.3782,13.483,5.9738,8.5742,8.3409,9.1804,10.266,8.3001,7.7016,8.0214,8.3376,10.1989,10.5046,7.0086,5.7294,7.9721,8.3794,6.9665,8.6179,8.6767,9.4087,5.1049,6.0427,7.6605
194806,-4.6273,1.0036,-2.1961,-0.2548,-0.106,-4.1788,-1.7551,-2.0192,-1.6674,4.0177,-1.1235,-1.1768,-4.1596,-2.2527,-0.0615,-1.2606,-0.3187,-1.8994,-3.0347,-0.4431,-0.4512,-0.7877,1.3939,0.1449,2.8745
194807,-6.3547,-5.1509,-7.6035,-5.8501,-4.8126,-5.6673,-4.0429,-4.6625,-4.7642,-3.665,-4.2097,-4.9107,-5.3458,-6.1753,-6.3891,-5.9023,-4.6923,-5.1742,-5.1352,-2.6389,-5.1498,-6.2711,-3.7268,-4.737,-5.3409
194808,-4.7893,-2.283,-0.8968,-2.0189,-0.7971,-0.9125,-0.8973,0.1767,-0.4775,-0.1325,-1.112,1.6,0.6384,0.0029,0.7049,-0.0355,-0.1822,1.3169,0.6279,-0.5485,1.1105,-0.3423,-0.1023,-0.6426,1.3294
194809,-2.9858,-6.1751,-3.3892,-5.7448,-5.7333,-1.2319,-2.5505,-3.8364,-3.894,-5.6837,-3.4846,-4.9315,-4.1823,-3.7366,-5.601,-4.3438,-2.7145,-3.939,-5.1358,-5.5607,-2.4419,-3.5723,-0.8993,-4.006,-2.824
194810,1.4544,3.5569,5.6781,5.041,5.4046,2.5488,4.3216,5.4058,4.3935,7.4488,3.8728,5.5345,5.4349,3.9838,4.3545,5.2638,5.1821,6.1476,6.6018,6.2671,6.4174,8.3917,4.2172,6.0917,6.5098
194811,-13.29,-10.625,-12.631,-12.0024,-11.8604,-9.1309,-9.4133,-9.1182,-11.2761,-12.99,-9.6232,-8.9805,-7.8732,-10.4772,-14.0832,-8.8315,-8.3507,-9.1253,-12.2016,-14.7538,-8.2861,-9.6916,-6.8938,-12.3094,-14.0692
194812,6.5799,-3.8534,-2.1901,-2.9803,0.8406,0.6524,0.8165,0.4472,0.2154,0.4455,3.0841,2.8724,0.8756,0.4346,2.0067,4.1043,2.861,0.652,2.7912,1.669,5.2845,3.5699,3.0098,2.4775,2.2692
194901,-0.712,5.3985,5.3385,2.8503,4.345,1.568,1.0793,0.4895,2.7722,2.4632,0.9318,-0.6525,1.1842,0.5815,0.1574,1.2565,1.4875,3.3306,0.0866,2.3658,0.7646,-1.907,-1.5384,1.1409,1.7705
194902,-5.7954,-3.7834,-4.6778,-5.6309,-3.5631,-7.9462,-3.7752,-4.699,-4.8301,-6.5354,-2.4182,-4.6881,-2.3023,-2.9723,-6.1082,-1.1113,-2.2761,-2.2922,-3.7738,-3.2696,-2.5913,-3.7026,-1.8758,-1.7869,-5.6209
194903,6.2016,7.1923,8.0232,5.7815,6.7261,5.9316,7.6681,5.083,5.3211,7.5685,5.8296,5.2009,5.0328,7.6747,7.6132,4.1918,4.1121,3.7037,4.5626,7.7137,4.3291,3.5761,2.6008,5.7226,4.063
194904,-3.4684,-3.1589,-1.6067,-3.2142,-2.982,-3.6737,-2.1685,-3.8292,-3.5746,-3.4435,-2.0491,-2.4244,-3.5681,-5.0638,-4.3065,-2.2614,-2.4098,-2.5752,-4.3607,-4.3279,-1.9567,-0.3973,-0.8566,-0.3664,-2.0919
194905,-11.2464,-6.9189,-7.2535,-6.4222,-5.9505,-3.32,-4.8455,-2.1291,-4.198,-6.7068,-3.4238,-2.4993,-1.9784,-3.7088,-6.3599,-1.7369,-2.3674,-1.3204,-2.9778,-4.6441,-1.9027,-3.0863,-2.3674,-5.5698,-5.7929
194906,-0.9467,-3.0407,-1.4995,-0.1733,-0.4193,-3.0683,-1.989,-0.7584,0.142,-1.8471,1.4056,-2.678,-1.7411,-0.8877,-3.9027,0.6054,-0.3602,0.4669,-1.0136,-1.3972,1.1257,0.1584,0.8288,-0.0663,-3.1749
194907,12.733,5.8238,5.4398,5.8279,5.1748,4.439,7.2539,6.9249,8.0195,4.9205,7.1691,7.0413,6.4055,7.1846,6.145,6.9075,5.6553,7.3818,4.3055,6.6792,5.5791,4.7652,5.1613,5.9538,7.2057
194908,2.9547,3.4012,1.9532,3.0667,1.7537,1.094,3.3071,2.8778,2.3916,1.24,3.9628,1.4599,4.0421,1.3693,3.1641,2.3101,2.5013,2.5605,0.2064,4.7212,2.8675,2.69,3.5725,2.6129,2.0008
194909,10.2191,1.3011,5.0319,3.5023,3.6562,4.4848,4.2981,4.3364,5.4213,5.3599,4.6658,4.9261,3.5886,4.2157,4.1622,4.3508,4.4054,3.1294,4.0141,6.1563,2.8225,2.1612,3.9802,3.7634,4.2442
194910,9.0836,3.84,6.4667,6.4769,4.5199,6.1405,4.8277,2.3821,4.6825,2.2013,3.4167,4.0098,2.1368,3.8686,5.3793,2.8722,2.1094,4.1384,0.4522,1.9289,3.6555,3.0263,2.6557,3.3635,2.0617
194911,-8.6066,1.6629,-3.1656,-0.501,0.0442,-2.1786,1.9951,1.1317,0.2955,1.0396,2.2739,2.104,1.2491,0.3028,0.5588,1.4435,1.9679,2.3128,0.48,3.5949,3.3359,1.0737,-0.1101,0.8289,2.1295
194912,7.3439,8.656,7.1154,7.3789,8.4647,5.1034,6.1273,7.102,6.9746,8.7761,6.8362,7.309,6.0789,8.191,12.6172,5.4197,5.3238,6.7694,6.9463,7.8768,5.8787,3.2787,2.8713,4.7977,7.3646
195001,14.1486,3.1076,7.3311,4.1915,6.604,10.2123,5.4498,4.2369,2.4014,4.749,3.7478,5.5337,3.6127,2.2207,5.8485,0.3246,2.1855,2.7636,2.7887,8.4343,0.9148,0.7528,2.3247,1.4479,5.6445
195002,4.3396,5.8164,3.6581,3.8154,0.3246,2.8173,2.1317,2.8215,2.4714,0.5789,1.6354,1.0118,1.1768,0.9852,-0.2783,1.1022,2.2633,1.7465,0.5871,2.2853,2.0084,0.7782,1.275,1.1932,1.3857
195003,-2.0948,-0.0012,3.9612,-2.2968,0.3738,-0.9907,2.4111,-0.9368,-0.9948,-1.3208,1.0738,0.9075,-0.0914,-2.2176,-1.8649,2.5798,0.7485,-0.2905,-1.3424,-1.1508,1.9653,1.6076,1.5647,1.7318,-0.2297
195004,10.5246,3.5488,8.0682,5.5834,7.3769,8.014,5.8777,5.7587,4.5477,7.4117,3.5931,4.057,5.6309,6.5101,9.938,3.7723,1.6041,4.4678,4.5172,3.625,5.3265,2.3919,3.1949,3.7269,4.3014
195005,-2.4187,2.3221,-0.5016,3.2437,3.2169,1.5957,2.3426,3.654,3.7506,2.8705,1.4885,1.1374,3.2534,4.7563,1.9168,4.6037,2.4023,4.0584,3.1302,1.905,4.9076,5.2153,5.0287,5.5117,2.16
195006,-14.1763,-9.9913,-10.8013,-8.5943,-10.3398,-6.8059,-6.9535,-7.2463,-9.3343,-9.555,-6.5212,-7.9236,-5.7834,-7.7825,-8.3131,-6.9717,-8.2968,-7.598,-5.5953,-8.4293,-5.5822,-4.923,-5.9805,-3.5313,-7.1951
195007,5.6249,2.3805,5.7705,8.6927,12.7027,0.6715,1.5937,4.5592,6.2505,14.308,-1.8691,-3.0078,2.6892,7.3497,17.1243,-1.6602,0.5357,5.3711,8.2891,16.153,-3.9019,-0.6903,6.6051,12.5424,12.8347
195008,0.1863,6.2795,4.54,3.2384,5.7768,5.7941,3.7374,5.7495,5.9612,2.1122,5.0732,5.5058,5.5393,5.997,4.4315,4.7495,4.2736,4.2617,3.1495,3.9178,6.6912,3.7389,4.9054,2.4718,2.8199
195009,5.65,5.7794,2.7776,4.3041,3.3226,5.7955,5.8029,4.5666,6.0265,6.2099,5.6539,6.528,6.5473,5.1661,5.7619,6.3058,6.3972,5.7621,4.2841,9.0642,5.3069,4.2346,4.3277,4.0044,3.1557
195010,-4.1951,-3.1271,1.3803,-1.0746,-0.2123,2.595,0.4036,0.0048,-1.04,1.1482,0.2076,-1.7629,-0.5607,0.0416,0.1649,-1.2031,-1.0819,-1.9272,0.5688,-3.2831,0.1316,-0.2257,-0.8422,-0.7944,4.6212
195011,-1.0465,2.192,1.3475,1.8586,5.2656,0.1554,0.791,2.0345,2.7045,8.3205,0.9474,1.5355,2.4299,2.9405,7.7528,2.893,3.2258,2.9185,5.6331,8.3122,2.7038,1.8008,4.0465,4.5728,2.454
195012,8.4945,7.5895,11.3394,12.6043,14.3921,9.3866,5.8746,10.4326,8.7249,14.4057,3.0755,3.3908,6.1844,8.2847,15.423,4.7301,3.851,8.9052,10.6577,12.7533,3.1073,5.0633,5.8774,9.3622,10.423
195101,8.8104,9.0665,8.6946,6.934,11.271,5.179,8.5215,5.8881,8.3747,9.8084,6.9722,7.5468,6.5321,9.63,9.3135,6.5185,7.7742,6.7428,6.055,9.2662,4.7304,3.859,7.1016,5.3906,10.2315
195102,1.1488,0.2086,-0.5407,0.9372,0.1279,1.7817,0.7868,2.2813,-0.0733,0.8155,1.9646,2.0989,2.3567,-0.6758,-0.4293,1.3268,1.072,2.7399,1.3754,1.5591,2.523,1.749,2.2356,0.0006,-2.7346
195103,1.3261,-4.7958,-4.6165,-4.897,-6.7455,-1.9878,-1.4053,-3.2888,-5.6035,-5.1335,-1.5207,-0.6183,-4.7431,-4.7775,-5.9012,-1.5944,-1.8934,-3.8391,-6.1496,-5.6597,-0.5296,-1.3179,-2.9725,-3.4732,-4.8707
195104,1.7877,3.2227,5.0795,3.3782,5.0598,3.1859,3.3173,3.6561,5.7652,5.0802,0.6714,3.3559,4.05,5.6637,7.3182,4.649,4.5957,3.8754,5.4018,5.3268,4.6592,2.9588,8.8527,6.4908,7.8191
195105,-4.4813,-2.6308,-3.6996,-4.4165,-4.0165,-2.2751,-2.5076,-1.8749,-3.012,-4.6668,-2.3538,-1.9907,-2.4939,-2.8921,-1.3281,-1.9751,-2.0346,-1.4311,-2.7329,-3.666,-2.2637,-1.6736,-2.235,-1.9728,-4.7383
195106,-3.9466,-7.2732,-6.8385,-4.6987,-7.1568,-4.2438,-4.0196,-5.6388,-5.794,-7.2555,-4.4229,-3.7366,-4.5036,-6.3584,-10.7349,-2.7862,-2.5408,-4.4614,-5.1596,-7.9801,-2.0059,-2.0214,2.0412,-3.7701,-6.656
195107,3.3041,3.8194,3.6453,4.3713,4.2865,5.2614,6.0238,5.606,6.9399,7.3449,4.0579,6.7339,5.1799,7.1222,6.7831,8.5836,5.8073,6.302,8.3973,10.8969,7.0261,5.6809,6.7211,9.3233,10.8361
195108,11.0521,12.5549,4.5759,6.064,5.1587,4.0336,5.4407,3.4746,6.8167,3.8042,4.6048,5.9668,5.0974,4.3324,4.9218,3.2077,4.6764,4.2323,4.1766,1.6631,3.7271,5.6854,4.5284,5.0824,4.7391
195109,3.7489,1.6628,2.7372,2.2361,1.9558,2.9234,4.0145,3.0413,1.864,4.4879,0.4472,1.9219,1.8102,2.6761,3.6528,1.1576,2.1454,2.7339,3.4117,4.0475,0.4758,0.5808,-0.3843,0.1118,1.8588
195110,-4.6432,-0.4585,-3.054,-3.0204,-1.659,-2.3948,-2.5407,-2.1092,-3.2705,-4.3052,-1.4755,-1.5983,-1.9857,-2.0463,-4.2464,-2.7597,-2.3542,-2.7621,-1.203,-4.3711,-4.2634,-2.5674,0.5209,-0.2306,-3.418
195111,-0.3114,-0.8451,-0.5922,-0.221,-1.2199,0.3899,-0.7436,0.631,0.4597,1.3201,1.0128,1.9789,1.5641,0.9717,0.3985,0.7378,2.6157,1.905,1.6974,1.3965,0.7189,1.195,-0.0015,-0.1666,1.6495
195112,-0.8643,-0.7425,1.2871,0.8199,0.2064,2.6306,-0.0431,1.6539,0.8519,0.7391,1.1826,0.6276,1.231,0.041,0.5862,2.75,2.8133,1.7144,1.22,1.529,4.9877,2.9198,4.2016,2.6199,1.474
195201,1.1493,2.356,1.2967,1.3742,2.0911,2.0367,2.0453,1.2202,2.4011,1.11,2.0715,1.8783,0.8135,1.1618,2.0908,1.9946,1.5121,1.3135,2.3381,1.3729,-0.2306,2.0118,2.9073,4.5802,3.5184
195202,-4.9142,-3.4696,-2.3934,-2.9523,-2.8483,-1.6212,-2.077,-2.9353,-1.7287,-1.8933,-1.5957,-0.731,-2.355,-2.5335,-1.6884,-0.9112,-1.1274,-3.4045,-2.1663,-1.6407,-2.3192,-2.5695,-3.1484,-3.1575,-3.4794
195203,2.2954,1.3995,1.4698,2.4241,2.3905,0.945,1.8682,2.0173,2.6649,4.8935,3.356,1.8106,2.4507,2.3676,4.3111,2.6458,2.4103,3.0993,5.5374,7.3584,4.8272,5.2369,4.3243,6.792,7.3276
195204,-4.7768,-6.2915,-4.4304,-3.812,-4.9796,-4.9306,-5.0636,-4.1898,-5.479,-3.9453,-3.9355,-5.5014,-3.7706,-4.3702,-3.0475,-5.7498,-4.1946,-4.2732,-6.3929,-2.7831,-4.7169,-4.3036,-4.5708,-7.0838,-5.8802
195205,-7.5651,0.8079,2.4638,2.0777,1.4592,2.1294,2.3795,3.1053,1.9565,3.1005,2.6244,2.9017,1.421,2.427,4.0134,3.2682,2.3501,3.3778,1.988,3.1656,4.1363,3.0246,2.7128,3.8051,3.4373
195206,2.5906,5.9451,1.8326,2.3905,3.3745,2.9504,1.7592,2.1985,2.9226,4.0665,0.8494,2.9951,2.8791,4.1038,3.6244,3.33,4.0264,2.7569,3.5116,3.7913,4.0645,4.2585,4.313,3.3182,7.0357
195207,1.9853,2.0659,2.4573,0.8337,0.4545,1.8514,-0.0942,1.5733,1.1858,-0.3307,1.6448,1.0092,1.6037,1.6055,0.0858,0.756,1.4724,1.6361,1.0974,1.7332,1.3095,1.0811,0.0847,1.4458,1.391
195208,-4.5693,0.2593,0.5434,0.2095,-0.1569,-0.0417,-0.2398,0.9076,1.6002,0.0793,0.1909,1.2364,1.7844,-0.3686,-1.7117,-0.1553,0.9272,-0.4782,-0.1041,-0.0183,-0.7449,-1.3689,0.2685,-1.8068,-1.3016
195209,-1.2498,0.2105,-0.8434,-1.7071,-1.0999,-1.6757,-2.064,-0.0908,-2.0788,-1.7262,0.1682,-1.1897,-0.6623,-3.0284,-2.5869,-2.3511,-0.5387,-1.3627,-1.1171,-2.4206,-1.5263,-2.1882,-1.5569,-4.5063,-2.069
195210,-1.5789,-2.7415,0.0842,-1.1969,-1.2848,-2.3441,-0.9393,-2.2021,-1.0691,-2.4652,-0.5492,-0.139,-1.8864,-1.1091,-0.8474,-0.2542,-1.3308,-1.6646,-1.7716,1.3107,-0.9133,0.237,-0.2689,0.1721,-0.3365
195211,0.7171,8.4113,2.7893,4.3565,4.6682,6.5315,3.6411,5.3543,6.5982,5.8477,5.2374,6.4738,5.9683,6.1218,6.2529,4.3557,5.8953,5.8064,6.0893,7.161,7.3247,5.0023,4.3676,6.9928,8.2946
195212,1.3388,-1.6774,0.5158,0.5944,1.7592,2.039,2.884,4.0816,2.5152,2.5233,1.749,2.1562,1.9833,1.2185,2.6958,2.7347,1.7635,1.7775,2.6849,4.3606,3.1862,3.352,2.6852,4.2829,4.7949
195301,3.0837,5.7637,3.6502,4.3527,4.0129,4.0727,3.059,2.6615,3.63,4.2437,2.621,1.0134,3.2186,3.4717,1.6331,0.1593,0.6792,3.7549,2.1746,1.9033,-0.9842,-1.2147,-0.0556,-1.0318,1.2303
195302,8.8519,3.8936,4.972,2.6137,2.264,1.8413,0.0456,1.6729,1.7351,1.3858,1.3864,1.5253,0.6422,1.418,0.1726,1.3078,0.5233,0.0168,1.8144,-0.863,-0.6184,0.0021,-0.382,-0.3783,-1.221
195303,-11.9667,-3.6589,-1.5799,-1.0234,-1.5104,-2.6987,-0.5827,-1.6162,-1.8475,-2.0155,0.2915,-0.5675,-1.5139,-1.2711,-1.9064,-1.1335,-0.7361,-2.2068,-2.5163,-0.8856,-1.3012,-1.4446,-0.765,-1.0556,-2.9006
195304,0.0333,-4.8768,-1.2517,-1.9161,-1.7069,-3.1022,-3.2863,-1.383,-0.6238,-1.7789,-3.5108,-1.5017,-2.1935,-1.7411,-1.6303,-1.776,-3.4138,-1.5642,-1.9153,-2.2687,-2.7901,-3.3817,-2.4783,-2.5662,-1.6808
195305,4.8906,-1.1571,2.4999,-0.2418,1.4581,0.1081,1.2979,1.5701,-0.0554,0.6451,0.1803,-0.3457,0.7082,0.7088,1.1345,-0.2069,0.0757,0.5028,1.1387,4.2177,0.8249,0.6506,0.3996,1.0678,1.9613
195306,-6.5018,-5.6594,-5.1982,-3.3045,-4.6457,-3.1306,-3.9806,-2.4706,-3.3261,-4.9659,-2.4042,-3.2439,-2.6571,-4.1034,-2.9716,-2.5778,-3.3618,-3.2037,-4.2567,-1.4442,-1.7259,-1.2319,-0.2138,-1.801,-1.2403
195307,-0.2539,-0.2226,2.1709,1.3416,2.4135,-0.5866,1.3988,1.5546,1.439,1.1202,1.2349,1.5912,1.7177,2.3539,2.1261,1.5786,1.7363,1.8037,0.4899,0.9835,2.8233,3.3902,1.8177,1.6805,1.5287
195308,-8.8238,-6.5111,-7.1208,-5.8061,-5.2418,-3.36,-3.6714,-5.1204,-6.4557,-6.3711,-3.7545,-2.0393,-5.5954,-6.2855,-8.3681,-3.9717,-4.0226,-4.1278,-6.4634,-9.1828,-3.5504,-4.0187,-4.4735,-6.2872,-9.5824
195309,-1.9025,-4.3219,-1.139,-1.7594,-3.4649,2.4645,-0.9761,-1.0164,-0.7128,-2.1798,1.1111,-0.888,-0.4174,-1.9012,-3.289,-0.1906,0.7645,-0.541,-0.9817,-2.7623,1.2269,0.8013,-0.756,-1.3051,-1.6235
195310,-0.4191,2.4296,3.5343,1.3568,2.4318,0.7389,3.5136,3.5054,2.9458,3.7446,3.6852,4.3228,3.8908,5.9223,3.4821,4.3876,4.5094,5.4909,3.397,3.3886,5.2949,4.1813,5.1415,5.7785,3.5617
195311,0.1346,4.9456,1.9719,0.9435,1.8158,1.9042,2.6047,2.6996,0.4624,1.6706,2.8638,1.8283,1.4398,1.7547,1.8416,2.5934,2.8443,3.2124,3.5756,3.7906,3.8773,2.3345,1.5944,2.8974,2.4259
195312,-4.3005,-2.9051,-1.8507,-1.5295,-3.628,-1.0339,-0.9221,-0.6388,-1.9656,-4.3048,0.0636,0.2629,-1.7773,-1.1024,-2.8231,0.5306,-0.0618,0.1439,-1.8748,-4.4093,0.6818,0.7198,0.5488,-0.8241,-4.846
195401,11.0763,6.9209,4.5037,7.6442,8.7755,4.3828,5.2453,6.1381,6.7803,9.5868,5.9798,7.1328,6.9609,6.9008,8.2513,5.0845,5.5289,6.5532,6.543,8.1894,3.4446,5.4292,7.3859,8.806,7.9751
195402,0.0768,2.8626,-0.1032,0.3837,0.0662,2.4529,-0.3328,3.0713,2.6309,-0.3048,1.5788,2.1325,1.886,2.3836,0.7625,2.2432,1.9314,2.9607,1.5061,0.6043,1.7542,1.8075,1.871,-0.1645,2.3593
