,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
194112,-18.538,-19.3333,-10.3259,-14.6767,-14.5074,-8.1284,-5.2476,-7.8909,-9.1447,-15.2042,-6.9725,-3.743,-5.1211,-6.7168,-8.3096,-3.6215,-5.3541,-6.53,-5.984,-9.0009,-3.3871,-4.9695,-4.2834,-9.4946,-6.8633
194201,34.5808,12.9913,16.0567,19.7749,25.6247,9.0803,7.0412,10.041,11.5491,16.8242,3.9402,3.1367,4.965,7.2332,13.6959,-2.4329,4.2709,6.2951,6.4174,9.0081,-2.995,0.1004,-0.392,6.8237,13.8899
194202,-6.7697,-8.6167,-1.5921,0.6329,-2.5389,0.2159,-1.2302,-1.5428,-1.7714,-1.559,-0.9876,-1.4863,-1.1056,-1.5003,-2.85,-1.7614,-1.7627,-2.906,-2.145,0.3464,-2.6092,-2.0361,-3.413,-2.4358,-1.0914
194203,-7.7132,-7.1348,-6.1964,-0.3651,-6.534,-4.8337,1.4843,-2.9012,-5.8485,-5.6879,-2.5475,-1.8199,-6.412,-4.7391,-7.4438,-5.2925,-5.9476,-6.219,-4.1355,-4.8883,-5.5719,-7.2545,-8.3437,-6.326,-7.186
194204,-5.1224,-3.9776,-4.0887,-4.5081,-4.7639,-6.5846,-5.737,-4.6372,-3.4592,-4.7737,-5.2845,-4.7029,-4.63,-5.3043,-4.1228,-7.1387,-5.8629,-4.5668,-5.7253,-3.5164,-3.3395,-6.4821,-3.5631,-3.1755,-0.1644
194205,-5.9652,0.5333,1.7706,-2.6621,0.3074,-0.2301,0.6088,0.8463,4.8183,-0.5729,0.5363,2.2761,2.3349,4.3849,-0.7044,4.4726,4.595,4.5734,1.7902,4.2808,8.2427,6.2671,5.3916,2.182,-4.6572
194206,3.1542,0.7434,-1.3829,3.8669,3.5838,1.73,3.9227,0.2365,2.3233,0.8942,2.5057,1.7442,0.8132,1.9506,1.3919,3.8835,2.7316,2.002,1.7978,-0.5836,4.4703,0.8745,2.0638,3.0515,5.7075
194207,6.0767,5.7467,7.9002,2.3307,7.7684,3.5955,3.0593,4.1283,2.4739,6.9865,4.1347,4.5599,3.0521,4.4204,3.7348,4.1441,3.3617,5.0286,5.1524,9.3443,1.9632,4.3718,3.0134,5.8977,7.8518
194208,1.0916,5.0789,1.8442,1.9559,1.1554,-0.1094,2.9462,3.7269,3.1339,2.3596,5.8611,2.8608,0.8673,2.1109,3.9947,2.9389,1.4372,2.2346,1.1422,2.757,1.1782,1.9687,1.1525,4.0437,5.5225
194209,6.8462,8.7763,1.6295,8.1876,9.0701,4.9113,1.8767,4.7807,4.4659,3.2789,1.3616,2.0221,1.4447,3.8915,3.7826,2.53,3.26,3.0894,2.4406,6.9219,2.9776,2.6872,1.4682,2.2613,5.6691
194210,1.4652,11.6168,16.1034,9.1272,12.0135,10.5627,7.8693,6.8811,10.2887,19.5671,11.3455,6.2576,9.3862,8.7918,14.1847,7.2399,7.3447,6.4236,10.3868,14.0075,4.9746,5.3643,9.8727,10.5921,13.3827
194211,8.6365,-1.4816,-7.1496,-1.1007,-6.2147,0.4423,-2.0269,-0.7651,-3.7694,-5.9642,-1.7581,-1.456,-1.3289,-0.0297,-2.4016,0.3439,-0.3748,-0.8417,-2.5664,-1.3338,1.0607,1.9623,0.4714,-4.0623,-6.5417
194212,-4.84,0.73,3.269,-0.872,-1.0284,1.6601,5.6927,2.9819,2.0292,5.1354,3.7105,2.3702,3.0108,5.0784,3.4818,6.6039,4.6628,5.0867,4.7176,6.3378,5.8747,3.8677,6.3719,6.8995,3.8265
194301,32.1429,25.215,21.4595,20.5994,32.6048,13.468,12.0601,12.5897,18.7468,24.5302,6.9825,9.8214,13.6166,12.5303,21.2499,4.8187,8.6398,8.7749,12.4513,12.1093,5.6089,5.4782,8.2976,7.6214,11.7864
194302,17.1043,17.4252,12.0694,17.7644,26.8748,16.4955,9.4629,6.9992,12.5006,15.3095,6.3572,7.3797,9.5516,10.0786,19.4919,4.9052,6.7576,7.1271,9.9747,11.6481,3.5703,6.1981,8.3024,9.7848,12.3767
194303,20.8898,-0.1783,16.2385,15.8579,15.1769,13.8978,11.8578,15.2447,13.2743,19.3137,9.2568,7.5421,9.892,12.3963,14.4329,8.8494,7.3655,8.5549,11.4263,14.9526,3.6248,4.7196,7.5058,7.8241,10.6916
194304,5.7137,0.8956,1.0079,4.7906,11.7757,-0.7866,2.2866,0.7961,7.0507,8.3435,0.2655,-0.6235,2.7833,3.8007,8.3473,0.8604,-0.4478,0.5856,3.3949,14.6181,-0.7386,1.1791,1.1385,-0.136,3.976
