,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
1,0.019835013,0.002730183,-0.062098543,-0.034892329,-0.065353811,-0.115321348,0.019369648,-0.015478844,-0.003982829,-0.018801118,-0.03491992,-0.044615087,-0.070207119,-0.099011371,0.024572988,0.035531881,-0.029943821,-0.059642895
2,0.029136534,0.01991895,0.022668682,0.003276187,-0.00350832,-0.008072465,0.012859669,0.023848125,0.034210327,0.016699469,-0.004041591,0.010525334,-0.009625056,-0.024766907,0.045370312,-0.018301201,0.022523234,0.0283361
3,0.110587476,0.080871653,0.0201145,0.026265449,0.052706635,0.036573522,0.069933905,0.068033812,0.005994369,0.057936044,-0.036041325,0.064270795,0.074201723,0.061816318,0.024937418,0.076722621,0.026484094,0.002247253
4,-0.055216047,-0.010763785,-0.015135899,-0.008648179,-0.012372143,-0.050716918,0.036660247,-0.028999458,0.03332724,0.000636859,0.032448609,0.001371137,0.000904308,-0.056170813,0.012597407,-0.001145666,0.000455757,-0.040457089
5,-0.048885382,-0.005082167,0.009155849,-0.002721087,0.007474375,0.001852871,0.001320695,-0.004823686,-0.004409308,0.037763118,0.030765682,0.028908075,0.019831885,-0.011965172,-0.013241795,0.00649953,0.01356685,-0.002935658
6,0.009096993,0.016076404,-0.037556942,-0.014724682,-0.029672144,-0.043241746,-0.011141479,-0.074887149,0.034015456,-0.004684162,0.027626918,-0.064412938,-0.061757299,-0.107485044,0.015983344,-0.050004285,-0.077256944,-0.054994532
7,0.032852278,0.111441694,-0.045288543,-0.043482714,-0.041733401,-0.020406381,-0.03986326,-3.72E-05,0.06810186,-0.040143769,0.036853585,-0.010632524,-0.060965085,0.009701731,-0.038178868,0.000547288,-0.007610175,0.017524046
8,-0.075815104,-0.084266335,-0.064601661,-0.068318901,-0.072789171,-0.05388275,-0.065976298,-0.106959498,-0.084334675,-0.089411167,-0.114937894,-0.091734074,-0.083055525,-0.141383732,-0.131081115,-0.101140642,-0.102962525,-0.105969529
9,-0.094354646,-0.119545264,-0.047122102,-0.060658582,-0.077157867,-0.059075604,-0.092355731,-0.076416327,-0.161977067,-0.090043958,-0.08635035,-0.134767452,-0.066303247,-0.169249677,-0.118927169,-0.112877537,-0.168728775,-0.054166702
10,0.07413942,0.052846282,0.035886543,0.027451617,0.06843076,0.064475108,0.030084467,0.030418908,0.065524725,0.081158351,0.134941657,0.013944402,0.066745044,0.102229628,0.016398256,0.029120636,0.046742727,0.055890054
