,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
1,0.029697648,-0.010071379,0.000786708,0.010699681,-0.007583871,-0.046290939,-0.092117899,-0.106209187,-0.08004044,-0.074021604,-0.089141588,-0.052976508,-0.004594072,-0.017313409,0.012775745,0.019569605,-0.000299396,0.049061743,-0.00343699,-0.001069141,0.00380378,-0.012780114,-0.020930878
2,-0.012855468,-0.001229726,0.018903397,0.034078075,0.036113756,0.015307429,0.020706966,-0.021453846,-0.018277834,0.013597336,-0.021299843,-0.006918034,0.028960607,0.016396234,0.012289822,0.02217042,0.006351143,0.017867756,0.013391261,-0.040807191,0.020569066,0.037373544,0.016225063
3,0.075597034,0.086363345,0.014910581,0.062474892,0.056351407,0.062381132,0.028803682,-0.016466521,0.056451485,0.054283582,0.06522637,0.088303071,0.027957134,0.095004587,0.061089862,0.058002044,0.097840145,0.052459598,0.064663271,0.073133542,0.07607115,0.067666023,0.047744803
4,0.029145669,-0.042385507,-0.016323317,-0.004781135,0.004173743,-0.033735965,-0.042439297,-0.059767028,-0.001486266,0.003201299,0.012947294,0.051610872,0.003989107,0.038124602,0.009386057,0.01940955,0.048618627,0.052209988,0.044063456,0.045625572,-0.002831485,0.008477438,0.018211497
5,0.02700202,-0.00601122,0.034638754,-0.00053733,0.007185084,-0.050832847,-0.000141252,-0.006416746,0.028034587,0.013086827,0.023727097,0.054770991,0.023022583,0.007628159,0.037498042,0.016591961,0.003300827,0.021850483,0.017753058,0.029173263,0.003744325,0.014812849,0.031485293
6,0.013449291,-0.000366344,-0.021061511,-0.015509154,-0.018805344,-0.016035022,-0.076091644,-0.032561763,-0.010928206,-0.012752585,-0.041898982,-0.072543507,-0.02020964,-0.01258442,0.020218372,0.00701786,-0.003032384,0.00493734,0.017325169,0.006570965,-0.01237438,-0.020243786,-0.029255378
7,-0.046775875,-0.053205868,-0.023090869,-0.046285719,-0.032079533,0.038073907,-0.041143388,-0.048976949,-0.011290115,-0.027301382,-0.039140103,-0.039721087,-0.021071346,-0.046869887,-0.022124519,-0.03484458,-0.00083064,-0.030585039,-0.032688741,-0.042944785,-0.054001771,-0.022184032,0.02600139
8,-0.064575777,-0.086617942,-0.040582433,-0.06718669,-0.082841122,-0.073921605,-0.092135889,-0.085514752,-0.077657317,-0.069225946,-0.085849696,-0.090118192,-0.078469365,-0.054832047,-0.085842827,-0.072414578,-0.103137558,-0.11531337,-0.050984191,-0.080021478,-0.063896882,-0.065966918,-0.047110956
9,-0.049788694,-0.038653606,-0.044126124,-0.061512459,-0.008477464,-0.094155553,-0.092560408,-0.072494038,-0.090814016,-0.055942843,-0.089187243,-0.058070823,-0.070210563,-0.069779322,-0.115218119,-0.068214562,-0.076532784,-0.088464644,-0.088752102,-0.091753987,-0.070113667,-0.070797607,-0.09599906
10,0.009081444,0.037885901,-0.032453898,0.026009221,0.006563182,0.046843228,0.073146106,0.092295064,0.056485392,0.066647293,0.080268431,0.109642243,0.061995409,0.047398207,0.059151452,0.026569032,0.050417623,0.099873982,0.016009039,0.048133362,0.040372694,0.058437724,0.056827215
11,0.035121213,0.052592094,0.016825161,0.011013106,0.028657819,0.022866968,0.036611333,0.046652635,0.027872894,0.028650519,0.016961858,0.005183244,0.04181729,0.048410438,0.007983297,0.030445616,0.01119885,0.033456715,-0.019403166,0.005393231,0.043207526,0.023366033,0.030699266
12,-0.026312407,0.006748347,-0.029935794,-0.017535352,-0.013070188,-0.045697336,-0.058518151,-0.057939476,-0.021347608,-0.0348857,-0.025160032,-0.032322843,-0.007591365,-0.033816877,-0.032465602,-0.000824995,-0.013675169,0.003688836,-0.028310291,-0.018843596,-0.044838504,-0.021823252,-0.030237461
13,0.000465096,-0.026527165,0.012581935,0.027138811,-0.021373475,-0.063121554,-0.024445584,-0.07532114,-0.045836464,-0.039348796,-0.047160847,-0.043278421,-0.049740082,-0.040522666,0.014225165,-0.02813381,-0.040874939,0.004722616,-0.009692905,-0.023353178,-0.044552058,-0.050003233,-0.056583969
14,-0.043563218,-0.049328716,-0.035347152,-0.016136569,-0.014606398,-0.118531398,-0.073957246,-0.108430554,-0.049788023,-0.037536125,-0.057224214,-0.066288422,-0.022261693,-0.049773459,-0.020679091,-0.037312429,-0.012284419,-0.042767579,-0.017318112,-0.05541353,-0.021486885,-0.044284369,-0.044983073
15,0.01750941,0.000800209,-0.018389304,0.022605782,0.000556682,-0.059033378,-0.017218995,-0.031898285,-0.019627481,-0.0173273,-0.008781179,-0.032810407,-0.023098699,0.00313294,0.006490473,-0.012572543,-0.030203361,-0.001211967,-0.030608655,-0.013943077,-0.004389812,-0.01321202,-0.018073112
16,0.039225061,0.058352592,0.024378556,0.023312026,0.023610573,0.039030564,0.036359832,0.009034318,0.036313559,0.036060093,0.05883221,0.060459799,0.065157164,0.028176276,0.044194757,0.029557803,0.0436731,0.071391208,0.01957642,0.059002884,0.038672742,0.040547721,0.055547749
17,-0.049511839,-0.052654821,-0.051100661,-0.049574836,-0.050277846,-0.025515824,-0.035741648,-0.027833253,-0.04420061,-0.046053716,-0.059531495,-0.040502096,-0.033463595,-0.029786021,-0.024541322,-0.042705315,-0.037619584,-0.011201435,-0.001187067,-0.021635014,-0.03489646,-0.056806834,-0.044157406
18,-0.04547953,-0.013816384,-0.027490893,-0.024820734,-0.014667466,-0.061579211,-0.004449525,-0.020071265,-0.024140836,-0.034748327,-0.040270834,-0.033198017,-0.037771479,-0.034120882,-0.014461362,-0.025899077,-0.006460811,-0.015855589,0.007503052,0.013188174,-0.017304859,-0.00707822,-0.044324464
19,-0.078245566,-0.0212161,-0.061973371,-0.040037885,0.017751286,-0.08646228,-0.031751726,-0.016261767,-0.033240572,-0.023780529,-0.010222199,-0.037153606,-0.024932228,-0.015863991,0.001834653,-0.011619403,0.000527392,0.015554987,0.016408079,-0.000668532,-0.013258062,-0.026184395,-0.022032934
20,0.123160738,0.14035624,0.136806991,0.109823842,0.087145962,0.126667194,0.113789029,0.124048149,0.124212588,0.090800865,0.069272972,0.08401624,0.051254727,0.080703263,0.063585901,0.085816349,0.078195751,0.055146265,0.048282119,0.072849008,0.105037188,0.047464888,0.103507209
21,0.030500892,0.013454202,-0.020108743,-0.003392362,-0.021816036,-0.003587004,0.010299172,0.001830564,0.020724222,0.043323737,0.060455685,0.0549556,0.006044956,0.054831819,0.034832957,0.025504403,0.031222791,0.036963632,0.101781207,0.08476351,0.034678193,0.03507482,0.029012511
22,0.126357493,0.160574549,0.114021819,0.113907497,0.111854503,0.16539424,0.082777289,0.095007796,0.13024043,0.109957541,0.079879282,0.143092598,0.141932681,0.13614111,0.104381734,0.119645443,0.112402448,0.135935456,0.092603447,0.147101707,0.12978674,0.127296971,0.164527268
23,-0.028621615,0.030174251,0.034595802,0.05911477,0.036085861,0.023365156,0.014223252,0.055584676,0.066400746,0.061929261,0.085566001,0.110236763,0.056523132,0.079930721,0.138197445,0.073152541,0.110053359,0.092647152,0.120266652,0.115829963,0.0670069,0.077419742,0.07224761
24,0.038900654,0.017567825,-0.003624702,0.013177188,0.005956925,0.020320961,0.003191618,-0.003129428,0.009867201,0.003519834,-0.006663417,0.027605904,-0.010911521,-0.009751897,0.012011277,0.022118418,0.025428733,0.040434933,0.016374793,0.00473117,0.013334666,0.012613801,-0.041858913
25,0.088648298,0.077610704,0.038464394,0.054812199,0.049383661,0.013444161,0.04598851,0.037270972,0.021296892,0.010040862,0.027783392,0.030241388,0.06731693,0.035645335,0.085000183,0.056132478,0.036154156,0.071165178,0.097988351,0.061790177,0.045042271,-0.014219107,0.019794205
26,-0.017814302,0.018291712,-0.01272833,0.040656592,0.021043764,0.000981739,0.04086899,0.029278988,0.050570188,0.039467124,0.049377406,0.08367737,0.04368564,0.017739995,0.080307582,0.063968281,0.049880368,0.056415316,0.09389681,0.088099031,0.047397086,0.069248028,0.059014935
27,0.050286518,0.036037421,-0.004403473,0.022261387,0.035098436,0.017894132,0.027085355,0.014427276,0.033838133,0.051913463,0.044651577,0.016897798,0.029748108,0.027756723,0.090236748,0.06412605,0.002893441,0.041452697,0.074419886,0.085496808,0.055958863,0.043963361,0.034784075
28,0.067833506,0.078409701,0.094217946,0.085651782,0.06533002,0.041367552,0.069459424,0.073106841,0.060887642,0.06151645,0.079632432,0.075012069,0.084424453,0.133719437,0.063549597,0.094003151,0.065156018,0.074142579,0.066877811,0.067837695,0.044986839,0.053114727,0.076775854
29,0.083077617,0.059859412,0.026288391,-0.019961441,0.002173798,-0.028231401,0.00810888,-0.01561925,0.024285104,0.021657908,0.041167432,0.021389706,0.055756047,0.036601145,0.091847387,0.044410568,0.047774354,0.093436288,0.137166149,0.056761642,0.035327958,0.011936356,0.013039157
30,0.039120649,0.022314847,0.027930416,0.058712434,0.033069309,0.009444844,0.006930777,0.059475201,0.022881821,0.026765477,0.030817464,0.071258883,0.039201441,0.022022072,0.036264468,0.018243318,0.07066077,0.029781735,0.037565649,0.024141113,0.028324262,0.027801387,0.026133957
31,-0.028184039,-0.00673187,-0.045544303,-0.024572468,-0.05157851,-0.045010019,-0.042049138,-0.06584534,-0.029174972,-0.028854839,-0.038529416,-0.059495108,-0.008963021,0.006261333,0.008017575,0.019513943,-0.038574661,-0.03777761,0.008932759,-0.008447429,-0.01357314,-0.037299441,-0.013567532
32,0.037310983,-0.011156212,0.034540822,0.031026921,0.028083635,0.005867404,0.01540698,-0.032350109,-0.016031887,-0.030457389,-0.059375357,-0.058997594,-0.013239409,-0.037354296,-0.051205893,-0.017725628,-0.064464877,-0.054234946,-0.050478648,-0.027168657,-0.034430476,-0.023006893,-0.024809697
33,0.006036824,0.05670613,-0.032660605,-0.024235742,-0.012953354,0.015107367,-0.018050224,0.02605201,0.030108045,0.037167251,0.028923472,0.040069134,0.047580178,0.020858765,0.00766932,0.036991449,-0.002550186,-0.01518998,-0.002526906,0.040338177,0.042943944,0.046587676,0.047170264
