,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
199801,0.15,-1.3,-1.65,0.87,-0.85,0.43,0.11
199802,7.04,0.14,-0.78,-0.31,-2.41,0.39,-1.15
199803,4.76,-0.67,1.54,-0.3,-0.47,0.39,2.15
199804,0.73,-0.05,0.89,-1.63,-0.23,0.43,0.78
199805,-3.07,-2.95,3.43,1.05,2.54,0.4,1.88
199806,3.18,-3.72,-1.8,-0.29,-2.93,0.41,7.26
199807,-2.46,-5.25,-1.71,1.83,0.45,0.4,3.68
199808,-16.08,-5.17,3.56,3.45,5.84,0.43,1.88
199809,6.15,-0.8,-3.42,-1.69,-2.91,0.46,-0.71
199810,7.13,-3.43,-2.21,0.77,0.29,0.32,-5.36
199811,6.1,0.71,-3.16,-1.08,-1.15,0.31,1.16
199812,6.16,-1.57,-4.2,-0.66,-3.33,0.38,8.99
199901,3.5,-0.62,-4.66,-2.66,-6.86,0.35,3.04
199902,-4.08,-5.22,1.91,-1.24,4.09,0.35,-0.16
199903,3.45,-4.18,-2.77,-3.9,-1.4,0.43,-1.29
199904,4.33,4.67,2.34,-2.26,0.92,0.37,-9.06
199905,-2.46,3.64,2.36,0.76,3.36,0.34,-5.28
199906,4.77,2.27,-3.4,1.11,-3.38,0.4,4.88
199907,-3.49,2.49,-0.48,0.45,3.11,0.38,1.51
199908,-1.38,-1.83,-1.72,-0.2,0.31,0.39,2.92
199909,-2.79,2.57,-3.42,-0.77,-1.07,0.39,6.46
199910,6.12,-7.05,-3.16,-1.88,-1.25,0.39,5.47
199911,3.37,5.81,-6.07,-4.01,-1.58,0.36,5.62
199912,7.72,5.42,-8.4,-7.53,-5.29,0.44,13.19
200001,-4.74,4.38,-1.75,-6.07,4.73,0.41,1.86
200002,2.45,18.08,-8.94,-18.48,-0.51,0.43,18.36
200003,5.2,-14.89,7.66,11.53,-1.05,0.47,-6.39
200004,-6.4,-5.25,7.41,7.66,5.27,0.46,-8.57
200005,-4.42,-4.11,5.01,4.36,0.74,0.5,-9.08
200006,4.64,9.89,-8.22,-8.05,-3.07,0.4,16.59
200007,-2.51,-1.03,8.4,6.28,2.99,0.48,-0.11
200008,7.03,-0.94,-1.47,-3.17,0.61,0.5,5.7
200009,-5.45,0.02,7.28,2.77,6.43,0.51,2.2
200010,-2.76,-2.86,5.71,9.44,4.67,0.56,-4.63
200011,-10.72,-0.69,12.53,13.38,8.51,0.51,-2.4
200012,1.19,3.16,7.67,2.35,5.68,0.5,6.7
200101,3.13,5.78,-5.33,-5.31,-6.55,0.54,-25.05
200102,-10.05,2.63,12.58,9.09,9.56,0.38,12.51
200103,-7.26,2.27,6.52,3.27,3.94,0.42,8.35
200104,7.94,-0.66,-4.8,-3.42,-3.95,0.39,-7.97
200105,0.72,3.56,3.34,0.17,2.18,0.32,2.12
200106,-1.94,6.63,-1.16,1.32,-1.79,0.28,0.34
200107,-2.13,-2.83,5.35,7.42,3.01,0.3,5.47
200108,-6.46,2.73,2.33,3.94,6.5,0.31,5.54
200109,-9.25,-5.74,1.57,4.89,3.28,0.28,11.54
200110,2.46,5.37,-7.66,-2.98,-4.64,0.22,-8.41
200111,7.54,-0.35,2.16,-3.88,-1.66,0.17,-8.58
200112,1.61,5.21,0.9,0.24,-0.29,0.15,-0.02
200201,-1.44,1.23,3.38,4.66,2.84,0.14,3.68
200202,-2.29,-0.38,2.21,8.04,5.12,0.13,6.77
200203,4.24,4.2,1.08,-1.75,0.61,0.13,-1.67
200204,-5.2,6.65,3.96,4.46,5.41,0.15,7.95
200205,-1.38,-3.08,1.57,2.16,2.42,0.14,2.97
200206,-7.21,3.8,0.04,3.79,2.51,0.13,6.15
200207,-8.18,-6.26,-3.71,3.72,-0.72,0.15,3.34
200208,0.5,-1.42,3.23,1.25,-1.62,0.14,1.76
200209,-10.35,3.03,1.49,3.19,-2.28,0.14,9.09
200210,7.84,-4.32,-4.07,-3.35,0.91,0.14,-5.31
200211,5.96,3.02,-1.51,-8.93,5.1,0.12,-16.19
200212,-5.76,0.51,2.28,6.18,-1.6,0.11,9.64
200301,-2.57,0.72,-0.86,-0.94,0.79,0.1,1.6
200302,-1.88,-0.95,-1.33,0.87,-0.55,0.09,1.25
200303,1.09,0.59,-2.15,1.89,-0.71,0.1,1.6
200304,8.22,1.05,0.89,-4.59,1.11,0.1,-9.49
200305,6.05,4.67,0.11,-7.07,3.14,0.09,-10.85
200306,1.42,1.68,0.39,0.48,-0.36,0.1,-1.09
200307,2.35,4.71,-1.08,-4.22,1.87,0.07,-0.31
200308,2.34,2.58,1.61,-2.29,2.2,0.07,-0.55
200309,-1.24,0.46,0.05,1.07,0.31,0.08,-0.19
200310,6.08,2.66,1.92,-1.37,1.55,0.07,3.73
200311,1.35,2.22,1.8,0.14,1.67,0.07,1.63
200312,4.29,-2.58,1.58,0.49,0.97,0.08,-5.69
200401,2.15,2.44,2.45,-3.67,3.4,0.07,2.59
200402,1.4,-0.96,0.86,2.16,-1.34,0.06,-1.07
200403,-1.32,2.13,0.24,1.7,-1.04,0.09,0.22
200404,-1.83,-2.05,-3.07,3.48,-2.8,0.08,-5.37
200405,1.17,-0.43,-0.29,-1.19,-0.08,0.06,1.59
200406,1.86,2.57,1.23,1.18,-0.41,0.08,2.09
200407,-4.06,-3.05,3.28,5.07,-1.62,0.1,-2.28
200408,0.08,-1.26,0.96,1.14,-1.45,0.11,-1.58
200409,1.6,3.28,-0.07,-1.32,-1.89,0.11,5.25
200410,1.43,0.2,-0.29,-0.3,0.4,0.11,-1.52
200411,4.54,4.08,1.43,-0.66,-0.23,0.15,3.23
200412,3.43,-0.06,-0.18,-1.17,0.51,0.16,-2.83
200501,-2.76,-1.21,2.01,2.73,-1.38,0.16,3.19
200502,1.89,-0.3,1.63,1.47,-0.04,0.16,3.18
200503,-1.97,-1.35,2.14,0.56,1.12,0.21,0.55
200504,-2.61,-4.02,0.05,0.82,-0.9,0.21,-0.85
200505,3.65,2.72,-0.66,-1.09,0.28,0.24,0.43
200506,0.57,3.26,2.82,1.1,-0.52,0.23,2.06
200507,3.92,2.79,-0.83,-1.21,-0.98,0.24,-0.03
200508,-1.22,-0.88,1.38,-2.1,0.44,0.3,2.27
200509,0.49,-0.34,0.74,0.34,-0.57,0.29,3.45
200510,-2.02,-1.41,0.45,-0.86,-1.25,0.27,-1.3
200511,3.61,0.81,-1.16,-0.77,-1.18,0.31,0.27
200512,-0.25,-0.25,0.24,0.17,0.22,0.32,0.76
200601,3.04,5.8,0.99,-0.6,-0.54,0.35,2.68
200602,-0.3,-0.44,-0.26,-0.58,2.03,0.34,-1.84
200603,1.46,3.42,0.68,-0.03,-0.52,0.37,1.26
200604,0.73,-0.8,2.37,1.8,-0.2,0.36,0.61
200605,-3.57,-3,2.45,1.07,1.31,0.43,-3.65
200606,-0.35,-0.23,0.92,1.36,-0.11,0.4,1.47
200607,-0.78,-3.63,2.67,1.67,0.93,0.4,-2.22
200608,2.03,0.47,-1.98,-1.79,2.15,0.42,-3.46
200609,1.84,-1.4,-0.04,0.91,0.53,0.41,-0.95
200610,3.23,1.94,-0.3,-0.09,0.26,0.41,-0.24
200611,1.71,0.8,0.07,0.19,-0.88,0.42,-1.01
200612,0.87,-0.8,2.72,-0.61,2.05,0.4,0.84
200701,1.4,0.12,-0.69,0.54,0.24,0.44,0.18
200702,-1.96,1.39,-0.17,-0.45,-0.74,0.38,-1.36
200703,0.68,0.15,-0.83,0.55,-0.59,0.43,2.5
200704,3.49,-2.06,-1.38,1.05,1.01,0.44,-0.15
200705,3.24,0.41,-0.63,1.57,-1.29,0.41,-0.27
200706,-1.96,0.75,-1.1,0.57,0.07,0.4,0.39
200707,-3.73,-2.9,-3.55,0.19,-1.04,0.4,2.81
200708,0.92,-0.4,-1.91,-1.33,-0.56,0.42,0.1
200709,3.22,-2.39,-2.21,-0.54,-3.17,0.32,4.57
200710,1.8,-0.01,-2.91,-0.25,-0.1,0.32,4.88
200711,-4.83,-2.93,-1,1.72,-0.34,0.34,0.9
200712,-0.87,0.15,-0.59,0.83,-1.09,0.27,6.54
200801,-6.36,-0.48,3.67,2.28,2.2,0.21,-7.88
200802,-3.09,-0.51,-0.88,1.06,-1.06,0.13,6.11
200803,-0.93,0.66,0.14,0.95,0.47,0.17,4.1
200804,4.6,-1.07,-0.96,1.99,-2.54,0.18,-0.33
200805,1.86,3.14,-1.45,1.04,0.04,0.18,3.21
200806,-8.44,1.19,-2.77,4.94,-0.42,0.17,12.54
200807,-0.77,3.63,5.27,-1.2,1.06,0.15,-5.13
200808,1.53,3.4,1.45,1.88,0.81,0.13,-4.03
200809,-9.24,0.28,6.07,2.31,1.78,0.15,0.36
200810,-17.23,-3.31,-2.37,2.94,1.92,0.08,7.79
200811,-7.86,-3.88,-6.31,4.5,2.72,0.03,7.17
200812,1.74,3.36,0.14,0.06,-1.41,0,-5.07
200901,-8.12,-1.9,-11.12,0.44,-1.16,0,-1.82
200902,-10.1,-1.2,-7.03,1.32,-1.11,0.01,4.03
200903,8.95,0.68,3.4,-2.45,-2.22,0.02,-11.61
200904,10.18,6.94,5.21,1.38,0.14,0.01,-34.39
200905,5.21,-2.46,0.49,-1.2,-2.16,0,-12.47
200906,0.43,2.28,-2.62,-1.38,-0.18,0.01,5.3
200907,7.72,2.4,4.87,-0.41,3.21,0.01,-5.37
200908,3.33,-0.1,7.5,-2.81,3.23,0.01,-8.82
200909,4.08,2.72,0.89,1.57,0.38,0.01,-4.95
200910,-2.59,-4.79,-4.03,3.98,-1.68,0,2.66
200911,5.56,-2.76,-0.25,0.99,0.16,0,0.33
200912,2.75,6.27,-0.11,0.82,-0.08,0.01,2.91
201001,-3.36,0.34,0.33,-1.18,0.43,0,-5.36
201002,3.4,1.48,3.19,-0.4,1.43,0,3.63
201003,6.31,1.8,2.11,-0.67,1.69,0.01,3.71
201004,2,4.99,2.91,0.88,1.69,0.01,3.21
201005,-7.89,0.09,-2.39,1.24,-0.19,0.01,-0.17
201006,-5.57,-2.46,-4.52,-0.31,-1.5,0.01,-2.99
201007,6.93,0.09,-0.36,0.29,2.03,0.01,1.9
201008,-4.77,-3.15,-1.9,0.49,-1.67,0.01,-0.18
201009,9.54,3.72,-3.23,-0.32,0.49,0.01,1.35
201010,3.88,0.71,-2.46,1.16,-0.16,0.01,1.66
201011,0.6,3.67,-0.95,0.34,1.6,0.01,2.54
201012,6.82,0.99,3.64,-3.42,3.18,0.01,-3.18
201101,1.99,-2.43,0.82,-0.64,0.75,0.01,-0.29
201102,3.49,1.63,1.29,-1.96,0.95,0.01,2.08
201103,0.46,2.66,-1.76,1.58,-0.01,0.01,3.52
201104,2.9,-0.56,-2.43,0.88,-0.79,0,0.06
201105,-1.27,-0.6,-2.05,2.08,-1.59,0,-0.57
201106,-1.75,0.15,-0.42,2.38,-1.48,0,1.77
201107,-2.35,-1.31,-0.88,2.64,-1.68,0,-0.01
201108,-5.99,-3.16,-2.56,3.41,-0.2,0.01,-0.34
201109,-7.59,-3.68,-1.71,2.12,0.27,0,-2.52
201110,11.35,3.47,0.13,-2.41,-0.85,0,-1.44
201111,-0.28,-0.25,-0.48,1.83,1.49,0,4.01
201112,0.74,-0.39,1.68,1.01,2.36,0,1.98
201201,5.05,2.11,-0.9,-2.05,-1.41,0,-7.94
201202,4.42,-1.69,0.46,-0.38,-0.06,0,-0.28
201203,3.11,-0.5,1.21,-0.57,0.81,0,1.51
201204,-0.85,-0.52,-0.77,1.26,0.67,0,3.83
201205,-6.19,0,-1.04,2.5,2.41,0.01,6.63
201206,3.89,0.94,0.58,-1.26,0.32,0,-0.76
201207,0.79,-2.69,-0.05,0.93,0.1,0,3.1
201208,2.55,0.44,1.12,-1.42,-0.72,0.01,-2.47
201209,2.73,0.65,1.56,-1.32,1.6,0.01,-1.06
201210,-1.76,-0.8,3.61,-1.5,2.27,0.01,0.08
201211,0.78,0.31,-0.83,0.39,0.92,0.01,0.4
201212,1.18,1.88,3.53,-1.79,0.89,0.01,-2.95
201301,5.57,0.55,0.98,-1.72,1.46,0,-1.9
201302,1.29,-0.36,0.13,-0.65,0.47,0,1.31
201303,4.03,0.85,-0.23,0.55,1.32,0,1.96
201304,1.55,-2.28,0.53,0.13,0.48,0,0.27
201305,2.8,2,2.61,-2.01,-0.74,0,-1.74
201306,-1.2,1.35,-0.09,-0.35,-0.02,0,0.58
201307,5.65,1.81,0.56,-1.33,0.55,0,1.78
201308,-2.71,-0.03,-2.66,0.59,-2.18,0,0.02
201309,3.77,2.65,-1.15,-0.6,-1.26,0,2.96
201310,4.18,-1.49,1.21,2.78,0.84,0,0.17
201311,3.13,1.33,0.29,0.13,0.07,0,0.44
201312,2.81,-0.58,-0.05,-0.47,0.09,0,0.07
201401,-3.32,0.58,-2.02,-3.93,-1.36,0,1.74
201402,4.65,0.11,-0.36,-0.24,-0.41,0,2.05
201403,0.43,-1.12,4.9,2.17,1.83,0,-3.38
201404,-0.19,-4.13,1.12,3.53,1.02,0,-3.77
201405,2.06,-1.91,-0.12,0.03,-1.05,0,1.21
201406,2.61,3.09,-0.67,-1.91,-1.95,0,0.74
201407,-2.04,-4.27,0.02,0.92,0.47,0,-0.24
201408,4.24,0.29,-0.42,-0.61,-0.7,0,0.79
201409,-1.97,-3.74,-1.38,1.24,-0.53,0,0.44
201410,2.52,3.8,-1.8,-0.48,-0.19,0,-0.04
201411,2.55,-2.27,-3.07,1.49,0.2,0,1.06
201412,-0.06,2.85,2.23,-1.16,0.88,0,1.09
201501,-3.11,-0.86,-3.56,1.68,-1.65,0,3.81
201502,6.14,0.23,-1.81,-1.16,-1.78,0,-2.83
201503,-1.12,3.04,-0.41,0.1,-0.51,0,3
201504,0.59,-3.06,1.88,-0.04,-0.45,0,-7.32
201505,1.36,0.8,-1.1,-1.82,-0.74,0,6.03
201506,-1.53,2.86,-0.74,0.42,-1.5,0,3.07
201507,1.54,-4.51,-4.21,0.1,-2.5,0,10.29
201508,-6.04,0.38,2.73,0.69,1.24,0,-2.09
201509,-3.07,-2.77,0.39,1.86,-0.45,0,5.35
201510,7.75,-2.18,-0.25,0.87,0.41,0,-4.03
201511,0.56,3.37,-0.49,-2.64,-1.08,0,2.21
201512,-2.17,-3.01,-2.45,0.45,0.04,0.01,3.41
201601,-5.77,-3.41,2.01,2.81,3.05,0.01,1.34
201602,-0.08,0.98,-0.59,3.33,2.12,0.02,-4.06
201603,6.96,1.07,1.11,0.77,-0.08,0.02,-5.13
201604,0.92,1.18,3.28,-2.89,2.01,0.01,-6.26
201605,1.78,-0.72,-1.6,-1.19,-2.52,0.01,2.14
201606,-0.05,0.5,-1.4,1.41,1.98,0.02,4.11
201607,3.95,2.6,-1.23,1.14,-1.24,0.02,-3.08
201608,0.5,1.66,3.31,-1.81,-0.35,0.02,-3.17
201609,0.25,1.79,-1.21,-2.13,-0.06,0.02,-0.53
201610,-2.02,-4.08,4.07,0.91,0.21,0.02,0.69
201611,4.86,6.8,8.22,-0.07,3.78,0.01,-4.07
201612,1.82,0.41,3.51,1.14,-0.29,0.03,-0.38
201701,1.94,-1.35,-2.81,-0.5,-0.94,0.04,-0.98
201702,3.57,-2.18,-1.79,0.27,-1.74,0.04,-1.63
201703,0.17,0.8,-3.33,0.8,-1.04,0.03,-0.92
201704,1.09,0.48,-2.11,1.96,-1.58,0.05,0.44
201705,1.06,-3.11,-3.67,1.02,-1.93,0.06,1.46
201706,0.78,2.46,1.45,-2.23,-0.05,0.06,-0.32
201707,1.87,-1.65,-0.36,-0.77,-0.21,0.07,1.66
201708,0.16,-1.81,-2.19,0.14,-2.42,0.09,3.55
201709,2.51,4.78,3.14,-1.38,1.64,0.09,-1.18
201710,2.25,-1.96,0.12,0.93,-3.35,0.09,4.3
201711,3.12,-0.33,-0.09,3.3,0.05,0.08,-0.71
201712,1.06,-1.02,0.17,0.72,1.67,0.09,-1.63
201801,5.58,-3.19,-1.32,-0.82,-0.86,0.11,3.94
201802,-3.65,0.37,-1.01,0.58,-2.23,0.11,3.97
201803,-2.35,3.6,-0.12,-0.45,0,0.12,-1.28
201804,0.29,0.96,0.5,-2.33,1.18,0.14,0.27
201805,2.65,4.74,-3.15,-2.01,-1.44,0.14,3.8
201806,0.48,0.89,-2.31,0.83,0.34,0.14,-2.38
201807,3.19,-1.95,0.57,1.53,0.4,0.16,-1.67
201808,3.44,0.64,-3.92,-0.15,-2.47,0.16,5.22
201809,0.06,-2.49,-1.63,0.59,1.26,0.15,-0.06
201810,-7.68,-4.51,3.46,0.91,3.45,0.19,-1.84
201811,1.69,-0.8,0.34,-0.63,0.33,0.18,-1.33
201812,-9.55,-2.99,-1.89,-0.09,0.15,0.19,1.85
201901,8.41,3.05,-0.46,-0.65,-1.36,0.21,-8.65
201902,3.4,1.79,-2.71,0.09,-1.47,0.18,0.86
201903,1.1,-3.56,-4.19,0.86,-1.03,0.19,2.14
201904,3.96,-1.16,2.02,1.64,-2.18,0.21,-2.55
201905,-6.94,-1.5,-2.28,-0.54,1.78,0.21,7.6
201906,6.93,0.33,-0.79,0.99,-0.38,0.18,-2.14
201907,1.19,-1.91,0.34,-0.16,0.34,0.19,2.72
201908,-2.58,-3.28,-4.85,0.42,-0.89,0.16,7.64
201909,1.43,0.24,6.77,1.99,3.5,0.18,-6.85
201910,2.06,0.2,-1.88,0.25,-0.99,0.15,0.29
201911,3.87,0.52,-2.05,-1.58,-1.24,0.12,-2.6
201912,2.77,0.94,1.91,0.09,1.29,0.14,-2.27
202001,-0.11,-4.4,-6.27,-1.36,-2.34,0.13,5.43
202002,-8.13,-0.03,-3.92,-1.61,-2.49,0.12,-0.23
202003,-13.38,-8.38,-13.96,-1.38,1.21,0.12,8.54
202004,13.65,2.79,-1.39,2.51,-1.03,0,-5.49
202005,5.58,1.93,-5.05,0.71,-3.28,0.01,0.67
202006,2.46,1.94,-2.35,0.03,0.34,0.01,-0.75
202007,5.77,-3.03,-1.39,0.55,1.06,0.01,7.61
202008,7.63,-0.94,-2.94,4.27,-1.44,0.01,0.51
202009,-3.63,0.07,-2.51,-1.15,-1.77,0.01,3.05
202010,-2.1,4.76,4.03,-0.6,-0.53,0.01,-3.03
202011,12.47,6.75,2.11,-2.78,1.05,0.01,-12.25
202012,4.63,4.67,-1.36,-2.15,0,0.01,-2.42
202101,-0.04,6.88,2.85,-3.33,4.68,0,4.42
202102,2.79,4.51,7.07,0.09,-1.98,0,-7.68
