,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
197201,2.49,6.31,1.93,-1.48,0.29,0.29,0.24
197202,2.87,0.96,-2.8,1.65,-0.52,0.25,2.7
197203,0.63,-0.5,-1.68,1.58,-0.19,0.27,2.91
197204,0.29,0.15,0.24,-0.59,-0.89,0.29,2.9
197205,1.25,-3.14,-2.73,2.33,-1.85,0.3,3.18
197206,-2.43,-0.35,-2.6,1.75,-0.36,0.29,1.91
197207,-0.8,-2.74,0.71,1.08,-0.59,0.31,2.74
197208,3.26,-3.53,4.64,-2.02,2.95,0.29,-5.35
197209,-1.14,-2.25,0.51,1.67,-1.98,0.34,1.76
197210,0.52,-2.52,1.3,-0.12,-0.05,0.4,0.76
197211,4.6,-0.54,4.82,-1.98,3.35,0.37,-5.14
197212,0.62,-1.82,-2.24,2.6,-2.2,0.37,4.98
197301,-3.29,-2.79,2.67,0.4,0.92,0.44,3.71
197302,-4.85,-4.01,1.71,-0.34,-0.01,0.41,2.12
197303,-1.3,-2.31,2.73,-1.07,0.73,0.46,3.62
197304,-5.68,-2.99,5.62,-1.63,2.71,0.52,6.41
197305,-2.94,-5.98,0.25,2.02,-1.79,0.51,7.09
197306,-1.56,-2.53,1.37,-0.27,0.22,0.51,4.32
197307,5.05,7.28,-5.32,-0.1,-3.46,0.64,-11.69
197308,-3.82,-1.79,1.32,-1.36,1.2,0.7,3.42
197309,4.75,3.58,2.01,-2.3,1.82,0.68,-7.03
197310,-0.83,-0.32,2.03,-1.94,2.59,0.65,6.74
197311,-12.75,-7.24,3.91,-2.71,1.5,0.56,8.63
197312,0.61,-4.59,3.9,-2.8,2.3,0.64,10.39
197401,-0.17,10.38,5.99,-3.01,4.46,0.63,-8.82
197402,-0.47,0.1,2.86,-1.93,2.67,0.58,0.14
197403,-2.81,2.67,-0.28,2.82,0.36,0.56,-0.99
197404,-5.29,-0.63,0.95,2.86,1.84,0.75,2
197405,-4.68,-3.17,-2.08,5.08,-0.01,0.75,-0.26
197406,-2.83,-0.01,0.78,0.62,3.05,0.6,2.37
197407,-8.05,1.99,5.14,-3.26,4.58,0.7,3.01
197408,-9.35,0.3,2.5,-0.26,2.55,0.6,3
197409,-11.77,1.46,5.49,-4.28,5.91,0.81,4.32
197410,16.1,-6.85,-9.99,-0.03,-2.94,0.51,-0.5
197411,-4.51,-1.44,-0.16,-3.39,2.95,0.54,2.18
197412,-3.45,-4.36,0,-0.65,3.23,0.7,2.95
197501,13.66,12.79,8.44,-0.89,-0.86,0.58,-13.89
197502,5.56,-0.65,-4.56,1.15,-2.14,0.43,-0.55
197503,2.66,3.98,2.49,1.23,-1.25,0.41,-1.99
197504,4.23,-0.59,-1.11,1.37,-1.35,0.44,1.34
197505,5.19,2.89,-4.02,-1.05,-0.61,0.44,-0.47
197506,4.83,1.32,1.32,-2.62,1.07,0.41,0.06
197507,-6.59,3.42,1.7,0.43,1.19,0.48,0.42
197508,-2.85,-2.8,-0.95,1.03,-0.89,0.48,-0.13
197509,-4.26,0.02,0.34,0.53,0.5,0.53,0.32
197510,5.31,-4.24,0.34,-0.46,2.27,0.56,-0.14
197511,2.64,-1.07,1.96,-0.62,1.71,0.41,-0.45
197512,-1.6,-0.03,1.74,-0.12,0.6,0.48,-0.12
197601,12.16,6.35,8.65,-1.9,2.36,0.47,4.46
197602,0.32,7.97,5.85,-2.58,3.84,0.34,0.36
197603,2.32,-1.33,-0.08,-0.38,1.09,0.4,0.19
197604,-1.49,0.15,-0.14,0.39,-1.1,0.42,0.5
197605,-1.34,-1.12,-1.3,2.47,-1.42,0.37,-1.1
197606,4.05,-1.13,0.65,-0.59,0.93,0.43,-0.43
197607,-1.07,0.62,1.69,-1.09,0.29,0.47,-0.12
197608,-0.56,-2.03,0.81,-0.46,-0.59,0.42,-0.85
197609,2.07,0.12,-0.24,0.99,-1.14,0.44,0.24
197610,-2.42,0.16,-0.15,-0.22,-0.32,0.41,-0.48
197611,0.36,2.66,1.51,-1.39,0.07,0.4,2.9
197612,5.65,3.6,2.2,-0.62,2.23,0.4,0.77
197701,-4.05,5.89,4.25,-0.53,1.93,0.36,3.98
197702,-1.94,1.11,0.52,-0.13,-0.19,0.35,0.35
197703,-1.37,1.29,1.06,-0.32,-0.09,0.38,0.49
197704,0.15,0.6,3.44,-2.05,1.14,0.38,4.22
197705,-1.45,1.28,0.84,0.33,0.11,0.37,2.01
197706,4.71,2.08,-0.68,0.88,-1.22,0.4,1.77
197707,-1.69,1.82,-0.6,0.83,0.01,0.42,0.31
197708,-1.75,0.89,-2.76,0.96,-0.62,0.44,-1.78
197709,-0.27,1.56,-0.51,1.23,-0.84,0.43,2.06
197710,-4.38,1.5,1.73,-0.3,-0.46,0.49,-0.13
197711,4,3.62,0.29,-0.05,0.65,0.5,2.19
197712,0.27,1.61,-0.38,0.94,-0.65,0.49,1.56
197801,-6.01,2.69,3.31,-1.67,1.53,0.49,-0.72
197802,-1.38,3.67,0.71,0.36,1.04,0.46,1.9
197803,2.85,3.72,1.23,-0.6,1.88,0.53,1.37
197804,7.88,-0.31,-3.56,2.82,-1.35,0.54,0.85
197805,1.76,4.56,-0.59,0.27,0.36,0.51,2.85
197806,-1.69,1.59,0.55,-1.44,-0.02,0.54,2.78
197807,5.11,0.15,-1.08,1.58,-0.78,0.56,4.22
197808,3.75,4.93,-0.57,1.39,0.42,0.56,2.82
197809,-1.43,-0.29,1.87,-0.68,1.8,0.62,-3.11
197810,-11.91,-10.05,1.4,0.17,1.03,0.68,-8.39
197811,2.71,2.84,-2.19,1.09,-1.21,0.7,5.52
197812,0.88,1.08,-2.17,1.96,-1.38,0.78,3.05
197901,4.23,3.84,2.29,-2.5,1.57,0.77,-1.24
197902,-3.56,0.55,1.16,-1.14,1.04,0.73,-1.06
197903,5.68,3.16,-0.69,0.62,0.28,0.81,2.88
197904,-0.06,2.4,1,1.05,0.21,0.8,0.81
197905,-2.21,0.15,1.3,-1.39,-0.35,0.82,-0.57
197906,3.85,0.99,1.45,-1.61,-0.45,0.81,0.82
197907,0.82,1.24,1.75,-0.2,0.59,0.77,-1.09
